爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
下,[名]1.低處、底部。與「上」相對。如：「底下」。《孟子．梁惠王上》：「猶水之就下。」2.稱隸屬於人者、地位較低者。如：「部下」、「手下」、「屬下」、「名下」。《文選．曹冏．六代論》：「建置不久，則輕下慢上。」3.內、裡面。如：「心下」、「言下之意」、「意下如何」、「不在話下」。4.方面。如：「四下看一看」。《清平山堂話本．柳耆卿詩酒翫江樓記》：「兩下相思不相見，知他相會是何年。」5.在某個期間或時節。如：「目下」、「時下」、「年下」、「眼下」。《紅樓夢》第三一回：「大節下怎麼好好的哭起來？難道是為爭粽子吃，爭惱了不成？」6.量詞。計算動作次數的單位。如：「打十下手心」、「做五十下伏地挺身」。《紅樓夢》第四七回：「用拳頭向他身上擂了幾下。」[動]1.由高至低、降落。如：「下雨」、「下山」、「下墜」、「順流而下」。《文選．左思．招隱詩二首之二》：「經始東山廬，果下自成榛。」2.攻克。如：「不戰而下」、「連下三城」。《史記．卷八○．樂毅傳》：「齊城不下者，兩城耳。」《三國演義》第一二回：「可引得勝之兵攻之，一鼓可下。」3.放入、投入。如：「下麵」、「下毒藥」、「下調味料」、「下網捕魚」。4.進入。如：「下水」、「下場比賽」。《儒林外史》第四二回：「我家太老爺做著貴州的都督府，我是回來下場的。」5.拆卸、除去。如：「下貨」。《儒林外史》第一六回：「過三日再不出，叫人來摘門下瓦。」6.離去、退場。如：「鞠躬下臺」、「你上場換他下來。」7.結束工作或學習。如：「下課」、「下班」、「下工了」。8.頒布、傳達。如：「下詔」、「下命令」。《漢書．卷四．文帝紀》：「吾詔書數下，歲勸民種樹。」9.投送。如：「下狀」、「下書」、「下帖」、「下戰書」。10.從事、使用。如：「下棋」、「下刀」、「下筆如有神」。11.往、到。如：「南下」、「下鄉視察」。唐．李白〈黃鶴樓送孟浩然之廣陵〉詩：「故人西辭黃鶴樓，煙花三月下揚州。」12.輕視。宋．蘇軾〈劉愷丁鴻孰賢論〉：「此范氏之所以賢鴻而下愷也。」13.謙抑、謙讓。如：「禮賢下士」。《三國志．卷五八．吳書．陸遜傳》：「臣雖駑懦，竊慕相如，寇恂相下之義，以濟國事。」14.生、生產。如：「母雞下蛋」。15.住宿、留宿。如：「下榻」。元．王實甫《西廂記．第一本．第一折》：「官人要下呵，俺這裡有乾淨的店。」16.做出某種說明、決定。如：「下定義」、「下結論」。17.低於、少於。如：「不下於」、「每年參加各種考試的人數不下二十萬人。」[形]1.等級低。如：「下品」、「下策」、「下級」。2.在後面的。如：「下次」、「下文」、「下月」、「下冊」、「下半年」。3.身分微賤的。如：「下人」、「下吏」。4.自謙之詞。如：「下官」、「下懷」、「下愚」。[副]1.表示動作完成或結束。如：「躺下」、「坐下」、「打下基礎」、「立下決心」。2.降低身分。如：「下嫁」、「不恥下問」。3.容納。如：「還坐得下嗎？」「情人眼裡容不下一粒沙子。」
劦,[動]合力、同力。《說文解字．劦部》：「劦，同力也。」
協,[動]1.和合。如：「協同」、「同心協力」。《三國志．卷一九．魏書．陳思王植傳》：「臣聞天地協氣而萬物生，君臣合德而庶政成。」2.輔助、幫助。如：「協助」、「協理」。3.服從、悅服。如：「協服」。《國語．齊語》：「大國慚媿，小國附協。」[副]共同。如：「協議」、「協商」、「協調」。
頁,[名]頭部。《說文解字．頁部》：「頁，頭也。」
血,[名]1.動物循環系統的體液之一，可循流全身，輸送氧、養分及代謝物。英文為blood。2.眼淚。漢．李陵〈答蘇武書〉：「天地為陵震怒，戰士為陵飲血。」唐．顧況〈傷子〉詩：「老夫哭愛子，日暮千行血。」3.二一四部首之一。[動]用鮮血沾染。《荀子．議兵》：「兵不血刃，遠邇來服。」[形]1.有血緣關係的。如：「血統」、「血親」。2.剛強、熱烈。如：「血性男兒」、「血氣方剛」。《儒林外史》第一四回：「像你這樣血心為朋友，難道我們當差的心不是肉做的？」
媟,[動]輕侮、不尊重。如：「媟慢」。《晉書．卷六九．周顗傳》：「雖時輩親狎，莫能媟也。」[形]汙穢、骯髒。如：「淫媟」。唐．杜牧〈唐故平盧節度巡官隴西李府君墓誌銘〉：「淫言媟語。」
燮,[動]調和。如：「燮理陰陽」。《文選．張衡．東京賦》：「北燮丁令，南諧越裳。」[名]姓。如宋代有燮玄圖。
宵,[名]夜、夜晚。如：「良宵苦短」、「通宵達旦」、「春宵一刻值千金」。《文選．潘岳．懷舊賦》：「宵展轉而不寐，驟長歎以達晨。」唐．李白〈塞下曲〉六首之一：「曉戰隨金鼓，宵眠抱玉鞍。」[形]細小。通「小」。《禮記．學記》：「宵雅肄三，官其始也。」漢．鄭玄．注：「宵之言小也。」《史記．卷六○．三王世家》：「毋侗好軼，毋邇宵人，維法維則。」
爻,(一)之讀音。
小,[形]與「大」相對：(1)體積、數量、力量等方面不大的。如：「小城」、「小人物」。《荀子．勸學》：「不積小流，無以成江海。」唐．韓愈〈原道〉：「坐井而觀天，曰：『天小者，非天小也。』」(2) 年輕、幼稚的。如：「年紀小」、「小伙子」。《晉書．九二．文苑傳．趙至傳》：「我小，未能榮養。」(3) 排行最後或地位較低的。如：「小官」、「這兩位是我二弟和小妹。」、「小妹！請你把帳單拿過來。」(4)對自己或與自己有關的人事物的謙稱。如：「恕小民直言。」、「小的不敢！」、「小店」、「小兒」。[名]1.邪惡的人、壞人。《漢書．卷八九．循吏傳．龔遂傳》：「今大王親近群小，漸漬邪惡所習。」2.小孩、年幼者。如：「一家老小」。《詩經．小雅．楚茨》：「既醉既飽，小大稽首」。3.妾。如：「嫁給人家當小的。」明．湯顯祖《牡丹亭》第二五齣：「你可知老相公年來因少男兒，常有娶小之意。」4.二一四部首之一。[動]輕視。《左傳．桓公十三年》：「將自用也，必小羅。」唐．李白〈送長沙陳太守〉詩二首之二：「莫小二千石，當安遠俗人。」[副]稍微。表示程度不深。如：「牛刀小試」、「不無小補」。[助]詞頭，表對年紀輕者的暱稱。如：「小王」、「小老弟」。
效,[動]1.摹仿。如：「東施效顰」、「上行下效」。唐．王勃〈滕王閣序〉：「阮籍猖狂，豈效窮途之哭？」2.致送、奉獻。如：「效勞」、「效力」、「效忠」。《韓非子．五蠹》：「獻圖則地削，效璽則名卑。」《文選．司馬遷．報任少卿書》：「誠欲效其款款之愚。」[名]1.功用。如：「功效」、「藥效」、「見效」。《淮南子．脩務》：「夫聖人之心，日夜不忘於欲利人，其澤之所及者，效亦大矣。」《紅樓夢》第一一回：「今日頭眩的略好些，別的仍不見怎麼樣大見效。」2.徵驗。《淮南子．脩務》：「哭者，悲之效也。」漢．王充《論衡．雷虛》：「夫論雷之為火有五驗，言雷為天怒無一效。」
休,[動]1.歇息。如：「休養」、「休憩」。《詩經．周南．漢廣》：「南有喬木，不可休息。」宋．歐陽修〈醉翁亭記〉：「行者休於樹。」2.停歇、終止。如：「休會」、「休學」。宋．李清照〈鳳凰臺上憶吹蕭．香冷金猊〉詞：「生怕閒愁暗恨，多少事、欲說還休。」《水滸傳》第五一回：「若孩兒有些好歹，老身性命也便休了。」3.辭退官職、工作。如：「退休」。唐．杜甫〈旅夜書懷〉詩：「名豈文章著，官因老病休。」唐．白居易〈自問〉詩：「宦途氣味已諳盡，五十不休何日休？」4.丈夫主動向妻子解除婚約。《水滸傳》第八回：「我不曾有半些兒點汙，如何把我休了？」《紅樓夢》第六八回：「如今指名提我，要休我。」5.喜悅、快樂。《詩經．小雅．菁菁》：「既見君子，我心則休。」《新唐書．卷九六．杜如晦傳》：「休戚與我均，何所避？」[副]不要、不可。如：「休想」、「休問」。唐．杜甫〈戲贈友〉詩二首之二：「勸君休歎恨，未必不為福。」元．王實甫《西廂記．第一本．第一折》：「這的是兜率宮，休猜做了離恨天。」[形]美好。如：「休兆」、「休德」。唐．柳宗元〈與邕州李域中丞論陸卓啟〉：「累仕所至，必有休聲。」[名]1.福祿、吉慶。《左傳．襄公二十八年》：「以禮承天之休。」《戰國策．魏策四》：「休祲降於天，與臣而將四矣。」2.姓。漢封楚元王之子為休侯，後以邑為氏。[助]用於句尾，相當於「罷」、「了」。宋．李清照〈玉樓春．紅酥肯放瓊苞碎〉詞：「要來小酌便來休，未必明朝風不起。」宋．呂勝己〈南鄉子．斗笠棹扁舟〉詞：「笑道漁翁太拙休。」
羞,[動]1.進貢、進獻。《說文解字．丑部》：「羞，進獻也。」《禮記．月令》：「以雛嘗黍，羞以含桃，先薦寢廟。」2.侮辱，使人難堪。如：「羞辱」。《漢書．卷四．文帝紀》：「以羞先帝之遺德。」3.感到恥辱。如：「他那大逆不道的行徑，使大夥都羞與為伍。」4.害怕、慚愧。如：「羞於見人」。《後漢書．卷一一．劉玄傳》：「素懦弱，羞愧流汗，舉手不能言。」唐．錢起〈贈闕下裴舍人〉詩：「獻賦十年猶未遇，羞將白髮對華簪。」5.害臊、難為情，或使難為情。如：「害羞」。如：「不要再羞他了，他的臉已經紅到耳根了。」[名]1.精緻美味的食物。同「饈」。如：「珍羞」、「時羞」。《文選．枚乘．七發》：「旨酒嘉肴，羞炰膾炙，以御賓客。」2.羞怯的神情。如：「含羞」。唐．李商隱〈無題〉詩二首之一：「扇裁月魄羞難掩，車走雷聲語未通。」3.恥辱。如：「蒙羞」。《文選．李陵．答蘇武書》：「復勾踐之讎，報魯國之羞。」
宿,[名]夜晚。如：「整宿」。《紅樓夢》第四八回：「商議已定，一宿無話。」
岫,[名]1.山洞、岩洞。《文選．張協．雜詩一○首之九》：「荒庭寂以閉，幽岫峭且深。」《文選．陶淵明．歸去來辭》：「雲無心以出岫，鳥倦飛而知還。」2.峰巒。《文選．謝朓．郡內高齋閑坐答呂法曹詩》：「窗中列遠岫，庭際俯喬林。」唐．杜甫〈江梅〉詩：「故園不可見，巫岫鬱嵯峨。」
臭,[名]氣味。如：「水是一種無色無臭的液體。」《易經．繫辭上》：「其臭如蘭。」[動]聞。通「嗅」。《荀子．禮論》：「三臭之，不食也。」
先,[名]1.祖先。《文選．司馬遷．報任少卿書》：「行莫醜於辱先，詬莫大於宮刑。」2.首要的事務。《禮記．學記》：「建國君民，教學為先。」3.原先、先前。《紅樓夢》第七二回：「這兩日比先又添了些病，所以支持不住。」4.先生的簡稱。《漢書．卷六七．梅福傳》：「夫叔孫先非不忠也。」5.姓。如春秋時晉國有先軫。[形]對已去世者的尊稱。如：「先父」、「先人」、「先聖先賢」、「革命先烈」。[副]1.時間或次序在前。如：「先發制人」、「近水樓臺先得月」。《論語．衛靈公》：「工欲善其事，必先利其器。」宋．蘇軾〈惠崇春江晚景〉詩二首之一：「春江水暖鴨先知。」2.暫時。如：「你先不要慌，我們慢慢想辦法來解決。」[動]1.倡導、先行。《論語．子路》：「衛君待子而為政，子將奚先？」《文選．曹植．求自試表》：「突刃觸鋒，為士卒先。」2.時間居前。唐．韓愈〈師說〉：「生乎吾前，其聞道也，固先乎吾，吾從而師之。」3.事前聯繫、介紹。《漢書．卷四三．酈食其傳》：「此真吾所願從游，莫為我先。」
弦,[名] 1.緊繫在弓上的索、線，具有彈性。即弓弦。如：「箭在弦上不得不發。」《史記．卷一○九．李將軍列傳》：「度不中不發，發即應弦而倒。」2.張於樂器上的絲、線，可用於彈奏發出樂音。如：「琴弦」、「箏弦」。3.半圓形的月亮。如：「上弦」、「下弦」。唐．杜甫〈初月〉詩：「光細弦初上，影斜輪未安。」4.弦樂或弦樂器的簡稱。如：「弦歌不輟」。晉．王羲之〈三月三日蘭亭詩序〉：「雖無絲竹管弦之盛。」5.數學上指圓或曲線上任意兩點的連接線段。6.姓。如春秋時鄭國有弦高。7.比喻妻子。如：「斷弦」、「續弦」。[動]1.彈奏弦樂器。《莊子．讓王》：「上漏下溼，匡坐而弦。」2.彎曲。《易經．繫辭下》：「弦木為弧，剡木為矢。」
